postgres-1  | 2026-09-06 14:57:51.711 UTC [3224] LOG:  process 3224 detected deadlock while waiting for ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 1001.780 ms
postgres-1  | 2026-09-06 14:57:51.711 UTC [3216] LOG:  process 3216 still waiting for ShareLock on transaction 3569 after 1002.453 ms
postgres-1  | 2026-09-06 14:57:51.711 UTC [3224] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:51.711 UTC [3216] LOG:  process 3216 acquired ShareLock on transaction 3569 after 1003.046 ms
postgres-1  | 2026-09-06 14:57:51.712 UTC [3221] LOG:  process 3221 acquired ExclusiveLock on tuple (5,103) of relation 16385 of database 16384 after 1834.875 ms
postgres-1  | 2026-09-06 14:57:51.933 UTC [3208] LOG:  process 3208 still waiting for ExclusiveLock on tuple (5,103) of relation 16385 of database 16384 after 1007.028 ms
postgres-1  | 2026-09-06 14:57:52.715 UTC [3221] LOG:  process 3221 still waiting for ShareLock on transaction 3557 after 1003.255 ms
postgres-1  | 2026-09-06 14:57:52.715 UTC [3216] LOG:  process 3216 detected deadlock while waiting for ExclusiveLock on tuple (4,94) of relation 16385 of database 16384 after 1002.525 ms
postgres-1  | 2026-09-06 14:57:52.715 UTC [3216] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:52.716 UTC [3221] LOG:  process 3221 acquired ShareLock on transaction 3557 after 1003.967 ms
postgres-1  | 2026-09-06 14:57:52.716 UTC [3213] LOG:  process 3213 acquired ShareLock on transaction 3557 after 4013.587 ms
postgres-1  | 2026-09-06 14:57:52.716 UTC [3208] LOG:  process 3208 acquired ExclusiveLock on tuple (5,103) of relation 16385 of database 16384 after 1790.190 ms
postgres-1  | 2026-09-06 14:57:52.721 UTC [3207] LOG:  process 3207 acquired ShareLock on transaction 3546 after 7794.593 ms
postgres-1  | 2026-09-06 14:57:52.721 UTC [3212] LOG:  process 3212 acquired ExclusiveLock on tuple (3,103) of relation 16385 of database 16384 after 4021.268 ms
postgres-1  | 2026-09-06 14:57:53.589 UTC [3206] LOG:  process 3206 still waiting for ShareLock on transaction 3531 after 4890.003 ms
postgres-1  | 2026-09-06 14:57:53.721 UTC [3212] LOG:  process 3212 detected deadlock while waiting for ShareLock on transaction 3562 after 1000.586 ms
postgres-1  | 2026-09-06 14:57:53.722 UTC [3212] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:53.722 UTC [3206] LOG:  process 3206 acquired ShareLock on transaction 3531 after 5022.836 ms
postgres-1  | 2026-09-06 14:57:53.722 UTC [3214] LOG:  process 3214 acquired ShareLock on transaction 3531 after 5023.035 ms
postgres-1  | 2026-09-06 14:57:53.722 UTC [3186] LOG:  process 3186 acquired ShareLock on transaction 3531 after 5022.806 ms
postgres-1  | 2026-09-06 14:57:53.722 UTC [3205] LOG:  process 3205 acquired ShareLock on transaction 3531 after 5022.719 ms
postgres-1  | 2026-09-06 14:57:53.722 UTC [3187] LOG:  process 3187 acquired ShareLock on transaction 3531 after 5022.729 ms
postgres-1  | 2026-09-06 14:57:53.723 UTC [3207] LOG:  process 3207 still waiting for ShareLock on transaction 3554 after 1001.268 ms
postgres-1  | 2026-09-06 14:57:53.724 UTC [3224] LOG:  process 3224 still waiting for ShareLock on transaction 3576 after 1000.533 ms
postgres-1  | 2026-09-06 14:57:53.725 UTC [3208] LOG:  process 3208 detected deadlock while waiting for ExclusiveLock on tuple (3,100) of relation 16385 of database 16384 after 1000.488 ms
postgres-1  | 2026-09-06 14:57:53.725 UTC [3208] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:53.725 UTC [3224] LOG:  process 3224 acquired ShareLock on transaction 3576 after 1001.636 ms
postgres-1  | 2026-09-06 14:57:53.955 UTC [3221] LOG:  process 3221 still waiting for ExclusiveLock on tuple (3,100) of relation 16385 of database 16384 after 1002.008 ms
postgres-1  | 2026-09-06 14:57:54.725 UTC [3187] LOG:  process 3187 detected deadlock while waiting for ShareLock on transaction 3550 after 1002.576 ms
postgres-1  | 2026-09-06 14:57:54.725 UTC [3186] LOG:  process 3186 still waiting for ExclusiveLock on tuple (4,94) of relation 16385 of database 16384 after 1002.980 ms
postgres-1  | 2026-09-06 14:57:54.725 UTC [3187] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:54.726 UTC [3211] LOG:  process 3211 acquired ShareLock on transaction 3554 after 6026.783 ms
postgres-1  | 2026-09-06 14:57:54.726 UTC [3217] LOG:  process 3217 acquired ExclusiveLock on tuple (4,94) of relation 16385 of database 16384 after 5817.084 ms
postgres-1  | 2026-09-06 14:57:54.726 UTC [3206] LOG:  process 3206 still waiting for ExclusiveLock on tuple (4,94) of relation 16385 of database 16384 after 1003.484 ms
postgres-1  | 2026-09-06 14:57:54.726 UTC [3214] LOG:  process 3214 detected deadlock while waiting for ShareLock on transaction 3579 after 1000.575 ms
postgres-1  | 2026-09-06 14:57:54.726 UTC [3214] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:54.726 UTC [3223] LOG:  process 3223 acquired ShareLock on transaction 3554 after 6026.764 ms
postgres-1  | 2026-09-06 14:57:54.726 UTC [3220] LOG:  process 3220 acquired ShareLock on transaction 3554 after 6026.896 ms
postgres-1  | 2026-09-06 14:57:54.726 UTC [3205] LOG:  process 3205 still waiting for ShareLock on transaction 3550 after 1003.853 ms
postgres-1  | 2026-09-06 14:57:54.726 UTC [3219] LOG:  process 3219 acquired ShareLock on transaction 3554 after 6026.873 ms
postgres-1  | 2026-09-06 14:57:54.726 UTC [3207] LOG:  process 3207 acquired ShareLock on transaction 3554 after 2005.124 ms
postgres-1  | 2026-09-06 14:57:54.727 UTC [3210] LOG:  process 3210 acquired ShareLock on transaction 3554 after 6030.203 ms
postgres-1  | 2026-09-06 14:57:54.727 UTC [3185] LOG:  process 3185 acquired ShareLock on transaction 3554 after 6026.703 ms
postgres-1  | 2026-09-06 14:57:54.727 UTC [3222] LOG:  process 3222 acquired ExclusiveLock on tuple (5,106) of relation 16385 of database 16384 after 5858.134 ms
postgres-1  | 2026-09-06 14:57:54.727 UTC [3224] LOG:  process 3224 still waiting for ShareLock on transaction 3579 after 1001.987 ms
postgres-1  | 2026-09-06 14:57:54.728 UTC [3205] LOG:  process 3205 acquired ShareLock on transaction 3550 after 1004.276 ms
